,date,steps,distance,runDistance,calories
319,2017-03-12,7103,5134,618,188
320,2017-03-13,3582,2616,162,95
321,2017-03-14,8504,6791,138,241
322,2017-03-15,147,95,42,9
323,2017-03-16,10513,7298,1149,246
324,2017-03-17,9136,6569,461,224
325,2017-03-18,32210,23114,234,712
326,2017-03-19,7952,6148,131,231
327,2017-03-20,3726,2476,1944,150
328,2017-03-21,12626,9036,153,293
329,2017-03-22,2538,1777,228,67
330,2017-03-23,11925,8904,49,533
331,2017-03-24,6356,4511,3570,223
332,2017-03-25,9219,7068,176,245
333,2017-03-26,10055,7046,573,236
334,2017-03-27,13591,10147,294,357
335,2017-03-28,7792,5664,220,191
336,2017-03-29,2009,1303,169,47
337,2017-03-30,7737,5676,419,206
338,2017-03-31,6193,4454,183,157
339,2017-04-01,1506,1068,66,39
340,2017-04-02,3185,2211,120,79
341,2017-04-03,9773,6914,630,240
342,2017-04-04,2625,1769,224,73
343,2017-04-05,6161,5257,3075,264
344,2017-04-06,4795,3432,182,120
345,2017-04-07,433,280,94,19
346,2017-04-08,1698,1166,136,46
347,2017-04-09,2160,1396,0,60
348,2017-04-10,3755,2775,92,103
349,2017-04-11,2207,1427,0,61
350,2017-04-12,2458,1707,181,72
351,2017-04-13,13194,11189,8458,871
352,2017-04-14,5697,4157,209,138
353,2017-04-15,16828,11917,65,705
354,2017-04-16,4766,3359,383,117
355,2017-04-17,21404,14668,1072,476
356,2017-04-18,3135,2053,166,73
357,2017-04-19,23473,17310,859,579
358,2017-04-20,53,34,0,2
359,2017-04-21,10115,7149,584,259
360,2017-04-22,14399,10666,472,369
361,2017-04-23,263,170,44,7
362,2017-04-24,13637,9741,2870,344
363,2017-04-25,7766,5698,465,196
364,2017-04-26,1727,1116,282,57
365,2017-04-27,5995,4750,145,172
366,2017-04-28,10434,7586,434,272
367,2017-04-29,1749,1142,163,50
368,2017-04-30,10593,7664,223,745
369,2017-05-01,2332,1516,202,53
370,2017-05-02,5371,3722,268,140
371,2017-05-03,12813,9938,553,375
372,2017-05-04,13294,9576,1157,327
373,2017-05-05,10874,9122,7077,592
374,2017-05-06,21696,15552,444,918
375,2017-05-07,7514,5479,4309,255
376,2017-05-08,15502,11011,519,386
377,2017-05-09,7465,4988,542,164
378,2017-05-10,14795,10604,8149,1018
379,2017-05-11,7309,5259,479,661
380,2017-05-12,5206,3688,2888,165
381,2017-05-13,8935,6860,88,231
382,2017-05-14,4751,3268,441,116
383,2017-05-15,22493,16505,3457,555
384,2017-05-16,22217,15636,450,493
385,2017-05-17,2637,1798,174,61
386,2017-05-18,1231,796,0,37
387,2017-05-19,13611,10029,406,346
388,2017-05-20,9808,7429,249,254
389,2017-05-21,6769,4791,281,164
390,2017-05-22,2932,1906,293,67
391,2017-05-23,4489,3161,2551,171
392,2017-05-24,5282,3839,188,137
393,2017-05-25,5496,3803,311,136
394,2017-05-26,23843,17379,762,593
395,2017-05-27,8293,6550,156,231
396,2017-05-28,7930,5305,682,172
397,2017-05-29,10835,7151,177,232
398,2017-05-30,9458,6882,389,230
399,2017-05-31,12935,9889,356,367
400,2017-06-01,3969,2683,251,93
401,2017-06-02,9039,6517,5061,296
402,2017-06-03,5475,4165,3101,163
403,2017-06-04,639,413,80,21
